,title,release_year,locations,Input Name,Best Guess,Unnamed: 0,index,eas_baseid,address,address_number,street_name,street_type,zip_code,cnn,longitude,latitude,point,supdist,supdistpad,numbertext,nhood,data_as_of,data_loaded_at,address_number_suffix,complete_landmark_name,release_decade
15,Pacific Heights,1990,texas & 19th streets (potrero hill),texas & 19th streets (potrero hill),179 texas st,62610.0,2610.0,503428.0,179 texas st,179.0,texas,st,94107.0,12539000.0,-122.39558077,37.76429043,"{'type': 'Point', 'coordinates': [-122.395580765, 37.764290432]}",SUPERVISORIAL DISTRICT 10,10.0,TEN,Potrero Hill,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,,1990
16,Sense8,2015,z space studios; 450 florida st.,z space studios; 450 florida st.,450 florida st,160879.0,879.0,451223.0,450 florida st,450.0,florida,st,94110.0,5621000.0,-122.41175076,37.76358273,"{'type': 'Point', 'coordinates': [-122.411750756, 37.763582732]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
17,Steve Jobs,2015,intersection of columbus and kearny,intersection of columbus and kearny,4 columbus ave,168376.0,3376.0,279801.0,4 columbus ave,4.0,columbus,ave,94111.0,4286000.0,-122.40364725,37.79601406,"{'type': 'Point', 'coordinates': [-122.403647251, 37.796014065]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
18,Looking Season 2 ep 209,2015,8 octavia street,8 octavia street,8 octavia st,217423.0,2423.0,483419.0,8 octavia st,8.0,octavia,st,94102.0,9875201.0,-122.4233932,37.77258668,"{'type': 'Point', 'coordinates': [-122.423393202, 37.772586681]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Hayes Valley,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
19,A View to a Kill,1985,"burger island (901 3rd street, china basin)","burger island (901 3rd street, china basin)",691 china basin st,195741.0,741.0,491953.0,691 china basin st,691.0,china basin,st,94158.0,15026000.0,-122.39269363,37.77166575,"{'type': 'Point', 'coordinates': [-122.392693627, 37.771665746]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Mission Bay,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,1980
20,Looking,2014,st. francis fountain,st. francis fountain,56 a francis st,180055.0,55.0,491184.0,56 a francis st,56.0,francis,st,94112.0,5753000.0,-122.43434951,37.72730319,"{'type': 'Point', 'coordinates': [-122.434349513, 37.727303191]}",SUPERVISORIAL DISTRICT 11,11.0,ELEVEN,Outer Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
21,Chance- Season 1 ep102,2016,heron and berwick alleys,heron and berwick alleys,7 heron st,208324.0,3324.0,365928.0,7 heron st,7.0,heron,st,94103.0,6893000.0,-122.40829008,37.77458667,"{'type': 'Point', 'coordinates': [-122.408290082, 37.774586669]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,South of Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2010
22,Memoirs of an Invisible Man,1992,st. elizabeth apartment house (901 powell street at sacramento),st. elizabeth apartment house (901 powell street at sacramento),2916 a sacramento st,119118.0,4118.0,292599.0,2916 a sacramento st,2916.0,sacramento,st,94115.0,11261000.0,-122.44152778,37.78915473,"{'type': 'Point', 'coordinates': [-122.441527782, 37.789154734]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Pacific Heights,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,A,,1990
23,GirlBoss,2017,fillmore and waller,fillmore and waller,105 a fillmore st,4260.0,4260.0,492494.0,105 a fillmore st,105.0,fillmore,st,94117.0,5530000.0,-122.43037113,37.77040075,"{'type': 'Point', 'coordinates': [-122.430371127, 37.770400752]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Hayes Valley,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,A,,2010
24,Looking Season 2 ep 204,2015,"dolores park, san francisco","dolores park, san francisco",2 francisco st,121505.0,1505.0,275975.0,2 francisco st,2.0,francisco,st,94111.0,5754000.0,-122.40511883,37.80597054,"{'type': 'Point', 'coordinates': [-122.40511883, 37.805970537]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
25,Time After Time,1979,lombard & broderick streets (marina district),lombard & broderick streets (marina district),819 c lombard st,210319.0,319.0,493041.0,819 c lombard st,819.0,lombard,st,94133.0,8446000.0,-122.41506718,37.80226661,"{'type': 'Point', 'coordinates': [-122.415067176, 37.802266611]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Russian Hill,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,C,,1970
26,Experiment in Terror,1962,the sea captain's chest (fisherman's wharf),the sea captain's chest (fisherman's wharf),12 sherman st,22722.0,2722.0,365900.0,12 sherman st,12.0,sherman,st,94103.0,11803000.0,-122.4068039,37.7770094,"{'type': 'Point', 'coordinates': [-122.406803895, 37.7770094]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,South of Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,1960
27,Time After Time,1979,lombard & divisadero streets (marina district),lombard & divisadero streets (marina district),4 divisadero st,168394.0,3394.0,274938.0,4 divisadero st,4.0,divisadero,st,94117.0,4796000.0,-122.43624595,37.76742383,"{'type': 'Point', 'coordinates': [-122.436245945, 37.767423826]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Castro/Upper Market,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1970
28,The Bachelor,1999,danilo's bakery (green street & bannam place),danilo's bakery (green street & bannam place),304 a green st,123559.0,3559.0,447814.0,304 a green st,304.0,green,st,94133.0,6444001.0,-122.40456553,37.80025835,"{'type': 'Point', 'coordinates': [-122.404565533, 37.800258347]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,1990
29,Venom,2018,hyde st at chestnut st,hyde st at chestnut st,377 a chestnut st,144429.0,4429.0,450823.0,377 a chestnut st,377.0,chestnut,st,94133.0,3955000.0,-122.40939492,37.80400923,"{'type': 'Point', 'coordinates': [-122.409394915, 37.804009229]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
30,Tales of the City,2019,grant and green st,grant and green st,304 a green st,123559.0,3559.0,447814.0,304 a green st,304.0,green,st,94133.0,6444001.0,-122.40456553,37.80025835,"{'type': 'Point', 'coordinates': [-122.404565533, 37.800258347]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
31,Dirty Harry,1971,"st. peter & paul's church (666 filbert street, washington square)","st. peter & paul's church (666 filbert street, washington square)",1062 a washington st,4524.0,4524.0,454868.0,1062 a washington st,1062.0,washington,st,94108.0,13423000.0,-122.41070291,37.79487256,"{'type': 'Point', 'coordinates': [-122.410702905, 37.794872563]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,1970
32,Chef Dynasty: House of Fang,2022,"660 howard, fang chinese restaurant","660 howard, fang chinese restaurant",1166 a howard st,11448.0,1448.0,473134.0,1166 a howard st,1166.0,howard,st,94103.0,7050000.0,-122.41147432,37.77680775,"{'type': 'Point', 'coordinates': [-122.411474317, 37.776807747]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2020
33,Milk,2008,city hall,city hall,Empty,,,,,,,,,,,,,,,,nan,,,,,2000
34,The Diary of a Teenage Girl,2015,specs' twelve adler museum café,specs' twelve adler museum café,2 museum way,121650.0,1650.0,464915.0,2 museum way,2.0,museum,way,94114.0,9463000.0,-122.44126481,37.76504557,"{'type': 'Point', 'coordinates': [-122.441264804, 37.765045571]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Castro/Upper Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
35,Terminator - Genisys,2015,"mission st., embarcadero, and front between clay and market","mission st., embarcadero, and front between clay and market",0 the embarcadero,21.0,21.0,481023.0,0 the embarcadero,0.0,embarcadero,,94105.0,12549201.0,-122.38636372,37.78812404,"{'type': 'Point', 'coordinates': [-122.386363719, 37.78812404]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
36,Cherish,2002,387 fair oaks at 25th street,387 fair oaks at 25th street,276 a fair oaks st,114186.0,4186.0,469936.0,276 a fair oaks st,276.0,fair oaks,st,94110.0,5383000.0,-122.42419489,37.75228583,"{'type': 'Point', 'coordinates': [-122.424194894, 37.752285829]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2000
37,Forrest Gump,1994,palace of fine arts (3301 lyon street),palace of fine arts (3301 lyon street),3301 lyon st,131399.0,1399.0,454272.0,3301 lyon st,3301.0,lyon,st,94123.0,8584000.0,-122.44829559,37.80188372,"{'type': 'Point', 'coordinates': [-122.448295586, 37.801883717]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Marina,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,1990
38,The OA Part II,2019,hyde st at pacific to washington st,hyde st at pacific to washington st,738 a washington st,201487.0,1487.0,476781.0,738 a washington st,738.0,washington,st,94108.0,13411000.0,-122.4057807,37.79548406,"{'type': 'Point', 'coordinates': [-122.405780694, 37.79548406]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
39,Fearless,1993,kohl building (400 montgomery street),kohl building (400 montgomery street),400 montgomery st,149711.0,4711.0,280455.0,400 montgomery st,400.0,montgomery,st,94104.0,9301000.0,-122.40256718,37.79314864,"{'type': 'Point', 'coordinates': [-122.402567175, 37.793148642]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1990
40,Nash Bridges,2021,illinois street at 20th street,illinois street at 20th street,1301 a illinois st,22908.0,2908.0,485551.0,1301 a illinois st,1301.0,illinois,st,94107.0,7172000.0,-122.38647975,37.75511243,"{'type': 'Point', 'coordinates': [-122.386479747, 37.75511243]}",SUPERVISORIAL DISTRICT 10,10.0,TEN,Potrero Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2020
41,Venom,2018,edinburgh castle (950 geary street),edinburgh castle (950 geary street),50 edinburgh st,169960.0,4960.0,387782.0,50 edinburgh st,50.0,edinburgh,st,94112.0,5085000.0,-122.42716398,37.72808846,"{'type': 'Point', 'coordinates': [-122.427163977, 37.728088463]}",SUPERVISORIAL DISTRICT 11,11.0,ELEVEN,Excelsior,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2010
42,The Love Bug,1968,golden gate bridge,golden gate bridge,35 golden gate ave,139814.0,4814.0,504218.0,35 golden gate ave,35.0,golden gate,ave,94102.0,6259000.0,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,,1960
43,Chance - Season 1 ep105,2016,"state garage, 818 leavenworth","state garage, 818 leavenworth",818 leavenworth st,210253.0,253.0,281068.0,818 leavenworth st,818.0,leavenworth,st,94109.0,8246000.0,-122.41490667,37.78880798,"{'type': 'Point', 'coordinates': [-122.414906667, 37.788807983]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
44,Steve Jobs,2015,21st and sanchez st,21st and sanchez st,12 a sanchez st,22491.0,2491.0,358655.0,12 a sanchez st,12.0,sanchez,st,94114.0,11507000.0,-122.43160992,37.76902301,"{'type': 'Point', 'coordinates': [-122.43160992, 37.769023011]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Castro/Upper Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,,2010
45,"Murder in the First, Season 1",2014,1541 grove street,1541 grove street,1541 grove st,44423.0,4423.0,297027.0,1541 grove st,1541.0,grove,st,94117.0,6566000.0,-122.44204573,37.77515784,"{'type': 'Point', 'coordinates': [-122.442045725, 37.775157844]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Lone Mountain/USF,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
46,"Murder in the First, Season 1",2014,berry street between 3rd and 4th streets,berry street between 3rd and 4th streets,4 berry st,168351.0,3351.0,460853.0,4 berry st,4.0,berry,st,94107.0,2951000.0,-122.38852211,37.77987866,"{'type': 'Point', 'coordinates': [-122.388522112, 37.779878666]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Mission Bay,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
47,Fearless,1993,90 gold street,90 gold street,90 gold st,218219.0,3219.0,454216.0,90 gold st,90.0,gold,st,94133.0,6249000.0,-122.40320041,37.79680472,"{'type': 'Point', 'coordinates': [-122.403200405, 37.796804717]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,1990
48,Chef Dynasty: House of Fang,2022,chinatown - grant avenue between california and jackson st,chinatown - grant avenue between california and jackson st,1373 a california st,29893.0,4893.0,424246.0,1373 a california st,1373.0,california,st,94109.0,3546000.0,-122.41679143,37.79074643,"{'type': 'Point', 'coordinates': [-122.416791433, 37.790746429]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,,2020
49,The House on Telegraph Hill,1951,market street,market street,1 market st,74344.0,4344.0,364870.0,1 market st,1.0,market,st,94105.0,8737101.0,-122.39498594,37.79398386,"{'type': 'Point', 'coordinates': [-122.394985937, 37.793983856]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Financial District/South Beach,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,1950
50,Quitters,2015,21st st & sanchez,21st st & sanchez,201 sanchez st,75898.0,898.0,359534.0,201 sanchez st,201.0,sanchez,st,94114.0,11511000.0,-122.43078554,37.76570954,"{'type': 'Point', 'coordinates': [-122.430785537, 37.765709539]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Castro/Upper Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2010
51,"Murder in the First, Season 2",2015,1400 16th street,1400 16th street,1400 16th st,31824.0,1824.0,366728.0,1400 16th st,1400.0,16th,st,94103.0,708000.0,-122.40130106,37.76681904,"{'type': 'Point', 'coordinates': [-122.401301063, 37.766819045]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Mission Bay,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2010
52,Terminator - Genisys,2015,construction site in front of 260 stockton st. at post st.,construction site in front of 260 stockton st. at post st.,260 stockton st,107545.0,2545.0,449171.0,260 stockton st,260.0,stockton,st,94108.0,12197000.0,-122.40659754,37.78831114,"{'type': 'Point', 'coordinates': [-122.406597542, 37.788311142]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
53,Sonic the Hedgehog,2020,grid within montgomery st; davis st; pacific st; bush st,grid within montgomery st; davis st; pacific st; bush st,845 a montgomery st,213033.0,3033.0,473820.0,845 a montgomery st,845.0,montgomery,st,94133.0,9308000.0,-122.40390055,37.79691392,"{'type': 'Point', 'coordinates': [-122.403900552, 37.796913923]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2020
54,Boys and Girls,2000,lombard street,lombard street,1 lombard st,74317.0,4317.0,276869.0,1 lombard st,1.0,lombard,st,94111.0,8431000.0,-122.40246809,37.80384663,"{'type': 'Point', 'coordinates': [-122.402468092, 37.803846629]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2000
55,Chance- Season 1 ep110,2016,"cliffhouse, 1090 point lobos ave.","cliffhouse, 1090 point lobos ave.",1090 point lobos ave,6073.0,1073.0,453145.0,1090 point lobos ave,1090.0,point lobos,ave,94121.0,10544000.0,-122.51396677,37.77858185,"{'type': 'Point', 'coordinates': [-122.513966766, 37.778581852]}",SUPERVISORIAL DISTRICT 1,1.0,ONE,Outer Richmond,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
56,Nash Bridges,2021,jessie street between 6th street and mint,jessie street between 6th street and mint,471 a jessie st,164759.0,4759.0,483178.0,471 a jessie st,471.0,jessie,st,94103.0,7522000.0,-122.40828623,37.78193844,"{'type': 'Point', 'coordinates': [-122.408286227, 37.781938438]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2020
57,Sense8 - Season 2,2016,"billy goat hill, castro st. & 30th st.","billy goat hill, castro st. & 30th st.",309 b castro st,124660.0,4660.0,472994.0,309 b castro st,309.0,castro,st,94114.0,3788000.0,-122.43510483,37.7637751,"{'type': 'Point', 'coordinates': [-122.435104826, 37.7637751]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Castro/Upper Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,,2010
58,Tales of the City,2019,"city lights books, 261 columbus ave","city lights books, 261 columbus ave",261 columbus ave,107933.0,2933.0,279113.0,261 columbus ave,261.0,columbus,ave,94133.0,4291000.0,-122.4065793,37.79760056,"{'type': 'Point', 'coordinates': [-122.406579302, 37.797600559]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
59,Bullitt,1968,"candlestick park exit, highway 101","candlestick park exit, highway 101",131 a park st,24453.0,4453.0,483105.0,131 a park st,131.0,park,st,94110.0,10262000.0,-122.42279094,37.7369627,"{'type': 'Point', 'coordinates': [-122.422790942, 37.736962702]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Bernal Heights,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,1960
60,Bicentennial Man,1999,"postcard row, alamo square, hayes valley","postcard row, alamo square, hayes valley",30 a valley st,124803.0,4803.0,503565.0,30 a valley st,30.0,valley,st,94110.0,13125000.0,-122.42301293,37.7449671,"{'type': 'Point', 'coordinates': [-122.423012928, 37.744967103]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Noe Valley,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,,1990
61,"Murder in the First, Season 3",2016,golden gate park,golden gate park,35 golden gate ave,139814.0,4814.0,504218.0,35 golden gate ave,35.0,golden gate,ave,94102.0,6259000.0,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,,2010
62,Quitters,2015,geary from 22nd ave to arguello,geary from 22nd ave to arguello,122 arguello blvd,16322.0,1322.0,292188.0,122 arguello blvd,122.0,arguello,blvd,94118.0,2415000.0,-122.45900164,37.78811476,"{'type': 'Point', 'coordinates': [-122.459001643, 37.788114763]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Presidio Heights,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
63,Petulia,1968,cala foods (california street and hyde),cala foods (california street and hyde),1373 a california st,29893.0,4893.0,424246.0,1373 a california st,1373.0,california,st,94109.0,3546000.0,-122.41679143,37.79074643,"{'type': 'Point', 'coordinates': [-122.416791433, 37.790746429]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,,1960
64,So I Married an Axe Murderer,1993,vesuvio café (255 columbus avenue),vesuvio café (255 columbus avenue),255 columbus ave,104991.0,4991.0,497338.0,255 columbus ave,255.0,columbus,ave,94133.0,4290000.0,-122.40611093,37.79733298,"{'type': 'Point', 'coordinates': [-122.40611093, 37.797332984]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,,1990
65,Invasion of the Body Snatchers,1978,chinatown,chinatown,1 ina ct,74271.0,4271.0,388980.0,1 ina ct,1.0,ina,ct,94112.0,7182000.0,-122.42432421,37.72377167,"{'type': 'Point', 'coordinates': [-122.424324209, 37.72377167]}",SUPERVISORIAL DISTRICT 11,11.0,ELEVEN,Excelsior,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,1970
66,Ant-Man and the Wasp,2018,saint louis alley at jackson,saint louis alley at jackson,26 saint louis aly,111420.0,1420.0,279774.0,26 saint louis aly,26.0,saint louis,aly,94133.0,11310000.0,-122.40698639,37.79575164,"{'type': 'Point', 'coordinates': [-122.406986387, 37.795751636]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
67,Sweet November,2001,marquee lofts (1000 van ness avenue at alice b. toklas place),marquee lofts (1000 van ness avenue at alice b. toklas place),100 a van ness ave,567.0,567.0,489813.0,100 a van ness ave,100.0,van ness,ave,94102.0,13144201.0,-122.41928801,37.77659043,"{'type': 'Point', 'coordinates': [-122.419288007, 37.77659043]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Tenderloin,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2000
68,Need For Speed,2014,powell st. from geary to sacramento,powell st. from geary to sacramento,1359 a sacramento st,28398.0,3398.0,446858.0,1359 a sacramento st,1359.0,sacramento,st,94109.0,11242000.0,-122.41525105,37.79205318,"{'type': 'Point', 'coordinates': [-122.415251054, 37.792053184]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
