,title,release_year,locations,Input Name,Best Guess,index,eas_baseid,address,address_number,street_name,street_type,zip_code,cnn,longitude,latitude,point,supdist,supdistpad,numbertext,nhood,data_as_of,data_loaded_at,address_number_suffix,complete_landmark_name
23,GirlBoss,2017,fillmore and waller,fillmore and waller,105 a fillmore st,4260.0,492494,105 a fillmore st,105,fillmore,st,94117,5530000,-122.43037113,37.77040075,"{'type': 'Point', 'coordinates': [-122.430371127, 37.770400752]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Hayes Valley,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,A,
24,Looking Season 2 ep 204,2015,"dolores park, san francisco","dolores park, san francisco",2 francisco st,1505.0,275975,2 francisco st,2,francisco,st,94111,5754000,-122.40511883,37.80597054,"{'type': 'Point', 'coordinates': [-122.40511883, 37.805970537]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
25,Time After Time,1979,lombard & broderick streets (marina district),lombard & broderick streets (marina district),819 c lombard st,319.0,493041,819 c lombard st,819,lombard,st,94133,8446000,-122.41506718,37.80226661,"{'type': 'Point', 'coordinates': [-122.415067176, 37.802266611]}",SUPERVISORIAL DISTRICT 3,03,THREE,Russian Hill,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,C,
26,Experiment in Terror,1962,the sea captain's chest (fisherman's wharf),the sea captain's chest (fisherman's wharf),12 sherman st,2722.0,365900,12 sherman st,12,sherman,st,94103,11803000,-122.4068039,37.7770094,"{'type': 'Point', 'coordinates': [-122.406803895, 37.7770094]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
27,Time After Time,1979,lombard & divisadero streets (marina district),lombard & divisadero streets (marina district),4 divisadero st,3394.0,274938,4 divisadero st,4,divisadero,st,94117,4796000,-122.43624595,37.76742383,"{'type': 'Point', 'coordinates': [-122.436245945, 37.767423826]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
28,The Bachelor,1999,danilo's bakery (green street & bannam place),danilo's bakery (green street & bannam place),304 a green st,3559.0,447814,304 a green st,304,green,st,94133,6444001,-122.40456553,37.80025835,"{'type': 'Point', 'coordinates': [-122.404565533, 37.800258347]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
29,Venom,2018,hyde st at chestnut st,hyde st at chestnut st,377 a chestnut st,4429.0,450823,377 a chestnut st,377,chestnut,st,94133,3955000,-122.40939492,37.80400923,"{'type': 'Point', 'coordinates': [-122.409394915, 37.804009229]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
30,Tales of the City,2019,grant and green st,grant and green st,304 a green st,3559.0,447814,304 a green st,304,green,st,94133,6444001,-122.40456553,37.80025835,"{'type': 'Point', 'coordinates': [-122.404565533, 37.800258347]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
31,Dirty Harry,1971,"st. peter & paul's church (666 filbert street, washington square)","st. peter & paul's church (666 filbert street, washington square)",1062 a washington st,4524.0,454868,1062 a washington st,1062,washington,st,94108,13423000,-122.41070291,37.79487256,"{'type': 'Point', 'coordinates': [-122.410702905, 37.794872563]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
32,Chef Dynasty: House of Fang,2022,"660 howard, fang chinese restaurant","660 howard, fang chinese restaurant",1166 a howard st,1448.0,473134,1166 a howard st,1166,howard,st,94103,7050000,-122.41147432,37.77680775,"{'type': 'Point', 'coordinates': [-122.411474317, 37.776807747]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
33,Milk,2008,city hall,city hall,Empty,,,,,,,,,,,,,,,,,,,
34,The Diary of a Teenage Girl,2015,specs' twelve adler museum café,specs' twelve adler museum café,2 museum way,1650.0,464915,2 museum way,2,museum,way,94114,9463000,-122.44126481,37.76504557,"{'type': 'Point', 'coordinates': [-122.441264804, 37.765045571]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
35,Terminator - Genisys,2015,"mission st., embarcadero, and front between clay and market","mission st., embarcadero, and front between clay and market",0 the embarcadero,21.0,481023,0 the embarcadero,0,embarcadero,,94105,12549201,-122.38636372,37.78812404,"{'type': 'Point', 'coordinates': [-122.386363719, 37.78812404]}",SUPERVISORIAL DISTRICT 6,06,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
36,Cherish,2002,387 fair oaks at 25th street,387 fair oaks at 25th street,276 a fair oaks st,4186.0,469936,276 a fair oaks st,276,fair oaks,st,94110,5383000,-122.42419489,37.75228583,"{'type': 'Point', 'coordinates': [-122.424194894, 37.752285829]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
37,Forrest Gump,1994,palace of fine arts (3301 lyon street),palace of fine arts (3301 lyon street),3301 lyon st,1399.0,454272,3301 lyon st,3301,lyon,st,94123,8584000,-122.44829559,37.80188372,"{'type': 'Point', 'coordinates': [-122.448295586, 37.801883717]}",SUPERVISORIAL DISTRICT 2,02,TWO,Marina,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
38,The OA Part II,2019,hyde st at pacific to washington st,hyde st at pacific to washington st,738 a washington st,1487.0,476781,738 a washington st,738,washington,st,94108,13411000,-122.4057807,37.79548406,"{'type': 'Point', 'coordinates': [-122.405780694, 37.79548406]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
39,Fearless,1993,kohl building (400 montgomery street),kohl building (400 montgomery street),400 montgomery st,4711.0,280455,400 montgomery st,400,montgomery,st,94104,9301000,-122.40256718,37.79314864,"{'type': 'Point', 'coordinates': [-122.402567175, 37.793148642]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
40,Nash Bridges,2021,illinois street at 20th street,illinois street at 20th street,1301 a illinois st,2908.0,485551,1301 a illinois st,1301,illinois,st,94107,7172000,-122.38647975,37.75511243,"{'type': 'Point', 'coordinates': [-122.386479747, 37.75511243]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
41,Venom,2018,edinburgh castle (950 geary street),edinburgh castle (950 geary street),50 edinburgh st,4960.0,387782,50 edinburgh st,50,edinburgh,st,94112,5085000,-122.42716398,37.72808846,"{'type': 'Point', 'coordinates': [-122.427163977, 37.728088463]}",SUPERVISORIAL DISTRICT 11,11,ELEVEN,Excelsior,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
42,The Love Bug,1968,golden gate bridge,golden gate bridge,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
43,Chance - Season 1 ep105,2016,"state garage, 818 leavenworth","state garage, 818 leavenworth",818 leavenworth st,253.0,281068,818 leavenworth st,818,leavenworth,st,94109,8246000,-122.41490667,37.78880798,"{'type': 'Point', 'coordinates': [-122.414906667, 37.788807983]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
44,Steve Jobs,2015,21st and sanchez st,21st and sanchez st,12 a sanchez st,2491.0,358655,12 a sanchez st,12,sanchez,st,94114,11507000,-122.43160992,37.76902301,"{'type': 'Point', 'coordinates': [-122.43160992, 37.769023011]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,
45,"Murder in the First, Season 1",2014,1541 grove street,1541 grove street,1541 grove st,4423.0,297027,1541 grove st,1541,grove,st,94117,6566000,-122.44204573,37.77515784,"{'type': 'Point', 'coordinates': [-122.442045725, 37.775157844]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Lone Mountain/USF,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
46,"Murder in the First, Season 1",2014,berry street between 3rd and 4th streets,berry street between 3rd and 4th streets,4 berry st,3351.0,460853,4 berry st,4,berry,st,94107,2951000,-122.38852211,37.77987866,"{'type': 'Point', 'coordinates': [-122.388522112, 37.779878666]}",SUPERVISORIAL DISTRICT 6,06,SIX,Mission Bay,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
47,Fearless,1993,90 gold street,90 gold street,90 gold st,3219.0,454216,90 gold st,90,gold,st,94133,6249000,-122.40320041,37.79680472,"{'type': 'Point', 'coordinates': [-122.403200405, 37.796804717]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
48,Chef Dynasty: House of Fang,2022,chinatown - grant avenue between california and jackson st,chinatown - grant avenue between california and jackson st,1373 a california st,4893.0,424246,1373 a california st,1373,california,st,94109,3546000,-122.41679143,37.79074643,"{'type': 'Point', 'coordinates': [-122.416791433, 37.790746429]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,
49,The House on Telegraph Hill,1951,market street,market street,1 market st,4344.0,364870,1 market st,1,market,st,94105,8737101,-122.39498594,37.79398386,"{'type': 'Point', 'coordinates': [-122.394985937, 37.793983856]}",SUPERVISORIAL DISTRICT 6,06,SIX,Financial District/South Beach,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
50,Quitters,2015,21st st & sanchez,21st st & sanchez,201 sanchez st,898.0,359534,201 sanchez st,201,sanchez,st,94114,11511000,-122.43078554,37.76570954,"{'type': 'Point', 'coordinates': [-122.430785537, 37.765709539]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
51,"Murder in the First, Season 2",2015,1400 16th street,1400 16th street,1400 16th st,1824.0,366728,1400 16th st,1400,16th,st,94103,708000,-122.40130106,37.76681904,"{'type': 'Point', 'coordinates': [-122.401301063, 37.766819045]}",SUPERVISORIAL DISTRICT 6,06,SIX,Mission Bay,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
52,Terminator - Genisys,2015,construction site in front of 260 stockton st. at post st.,construction site in front of 260 stockton st. at post st.,260 stockton st,2545.0,449171,260 stockton st,260,stockton,st,94108,12197000,-122.40659754,37.78831114,"{'type': 'Point', 'coordinates': [-122.406597542, 37.788311142]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
53,Sonic the Hedgehog,2020,grid within montgomery st; davis st; pacific st; bush st,grid within montgomery st; davis st; pacific st; bush st,845 a montgomery st,3033.0,473820,845 a montgomery st,845,montgomery,st,94133,9308000,-122.40390055,37.79691392,"{'type': 'Point', 'coordinates': [-122.403900552, 37.796913923]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
54,Boys and Girls,2000,lombard street,lombard street,1 lombard st,4317.0,276869,1 lombard st,1,lombard,st,94111,8431000,-122.40246809,37.80384663,"{'type': 'Point', 'coordinates': [-122.402468092, 37.803846629]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
55,Chance- Season 1 ep110,2016,"cliffhouse, 1090 point lobos ave.","cliffhouse, 1090 point lobos ave.",1090 point lobos ave,1073.0,453145,1090 point lobos ave,1090,point lobos,ave,94121,10544000,-122.51396677,37.77858185,"{'type': 'Point', 'coordinates': [-122.513966766, 37.778581852]}",SUPERVISORIAL DISTRICT 1,01,ONE,Outer Richmond,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
56,Nash Bridges,2021,jessie street between 6th street and mint,jessie street between 6th street and mint,471 a jessie st,4759.0,483178,471 a jessie st,471,jessie,st,94103,7522000,-122.40828623,37.78193844,"{'type': 'Point', 'coordinates': [-122.408286227, 37.781938438]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
57,Sense8 - Season 2,2016,"billy goat hill, castro st. & 30th st.","billy goat hill, castro st. & 30th st.",309 b castro st,4660.0,472994,309 b castro st,309,castro,st,94114,3788000,-122.43510483,37.7637751,"{'type': 'Point', 'coordinates': [-122.435104826, 37.7637751]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,
58,Tales of the City,2019,"city lights books, 261 columbus ave","city lights books, 261 columbus ave",261 columbus ave,2933.0,279113,261 columbus ave,261,columbus,ave,94133,4291000,-122.4065793,37.79760056,"{'type': 'Point', 'coordinates': [-122.406579302, 37.797600559]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
59,Bullitt,1968,"candlestick park exit, highway 101","candlestick park exit, highway 101",131 a park st,4453.0,483105,131 a park st,131,park,st,94110,10262000,-122.42279094,37.7369627,"{'type': 'Point', 'coordinates': [-122.422790942, 37.736962702]}",SUPERVISORIAL DISTRICT 9,09,NINE,Bernal Heights,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
60,Bicentennial Man,1999,"postcard row, alamo square, hayes valley","postcard row, alamo square, hayes valley",30 a valley st,4803.0,503565,30 a valley st,30,valley,st,94110,13125000,-122.42301293,37.7449671,"{'type': 'Point', 'coordinates': [-122.423012928, 37.744967103]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Noe Valley,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,
61,"Murder in the First, Season 3",2016,golden gate park,golden gate park,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
62,Quitters,2015,geary from 22nd ave to arguello,geary from 22nd ave to arguello,122 arguello blvd,1322.0,292188,122 arguello blvd,122,arguello,blvd,94118,2415000,-122.45900164,37.78811476,"{'type': 'Point', 'coordinates': [-122.459001643, 37.788114763]}",SUPERVISORIAL DISTRICT 2,02,TWO,Presidio Heights,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
63,Petulia,1968,cala foods (california street and hyde),cala foods (california street and hyde),1373 a california st,4893.0,424246,1373 a california st,1373,california,st,94109,3546000,-122.41679143,37.79074643,"{'type': 'Point', 'coordinates': [-122.416791433, 37.790746429]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,
64,So I Married an Axe Murderer,1993,vesuvio café (255 columbus avenue),vesuvio café (255 columbus avenue),255 columbus ave,4991.0,497338,255 columbus ave,255,columbus,ave,94133,4290000,-122.40611093,37.79733298,"{'type': 'Point', 'coordinates': [-122.40611093, 37.797332984]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,
65,Invasion of the Body Snatchers,1978,chinatown,chinatown,1 ina ct,4271.0,388980,1 ina ct,1,ina,ct,94112,7182000,-122.42432421,37.72377167,"{'type': 'Point', 'coordinates': [-122.424324209, 37.72377167]}",SUPERVISORIAL DISTRICT 11,11,ELEVEN,Excelsior,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
66,Ant-Man and the Wasp,2018,saint louis alley at jackson,saint louis alley at jackson,26 saint louis aly,1420.0,279774,26 saint louis aly,26,saint louis,aly,94133,11310000,-122.40698639,37.79575164,"{'type': 'Point', 'coordinates': [-122.406986387, 37.795751636]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
67,Sweet November,2001,marquee lofts (1000 van ness avenue at alice b. toklas place),marquee lofts (1000 van ness avenue at alice b. toklas place),100 a van ness ave,567.0,489813,100 a van ness ave,100,van ness,ave,94102,13144201,-122.41928801,37.77659043,"{'type': 'Point', 'coordinates': [-122.419288007, 37.77659043]}",SUPERVISORIAL DISTRICT 6,06,SIX,Tenderloin,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
68,Need For Speed,2014,powell st. from geary to sacramento,powell st. from geary to sacramento,1359 a sacramento st,3398.0,446858,1359 a sacramento st,1359,sacramento,st,94109,11242000,-122.41525105,37.79205318,"{'type': 'Point', 'coordinates': [-122.415251054, 37.792053184]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
69,Doctor Dolittle,1998,larkin & hyde streets,larkin & hyde streets,0 larkin st,13.0,280109,0 larkin st,0,larkin,st,94109,8143000,-122.41902864,37.79285917,"{'type': 'Point', 'coordinates': [-122.419028644, 37.792859175]}",SUPERVISORIAL DISTRICT 3,03,THREE,Russian Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
70,The OA Part II,2019,"red's java house (pier 30-32, the embarcadero)","red's java house (pier 30-32, the embarcadero)",30 the embarcadero,237.0,440219,30 the embarcadero,30,embarcadero,,94105,12553103,-122.39385371,37.79419169,"{'type': 'Point', 'coordinates': [-122.393853705, 37.794191691]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
71,Alive,2020,embarcadero near pier 14,embarcadero near pier 14,143 the embarcadero,734.0,458314,143 the embarcadero,143,embarcadero,,94111,12553103,-122.39606153,37.79615551,"{'type': 'Point', 'coordinates': [-122.396061533, 37.796155507]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
72,"Murder in the First, Season 2",2015,83 watchman way,83 watchman way,83 watchman way,2625.0,451069,83 watchman way,83,watchman,way,94107,13453000,-122.39514415,37.75582048,"{'type': 'Point', 'coordinates': [-122.395144145, 37.75582048]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
73,Magnum Force,1973,broadway tunnel (russian hill),broadway tunnel (russian hill),1 russian hill pl,4454.0,278192,1 russian hill pl,1,russian hill,pl,94133,11201000,-122.41521114,37.79792138,"{'type': 'Point', 'coordinates': [-122.415211137, 37.797921383]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
74,The Maltese Falcon,1941,golden gate bridge,golden gate bridge,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
